,title,view
15,시빌/NNP 포토티켓/NNG 수정/NNG 부탁/NNG 드리/VV ㅂ니다/EF !/SF,270
16,겨울왕국/NNG 정말/MAG 인기/NNG 대단/XR 하/XSA 네요/EC,768
17,롯데시네마/NNP '/SS 겨울왕국/NNG 2/SN '/SS OST/SL 콤보/NNG 판매/NNG 예정/NNG,1690
18,포토/NNG 티켓/NNG 이미지/NNG 수정/NNG 부탁/NNG 드리/VV ㅂ니다/EF ../SE !/SF,579
19,너/NP 의/JKG 이름/NNG 은/JX 보러오/VV 았/EP 어요/EC,350
20,겨울/NNG 왕국/NNG 2/SN IMAX/SL vs/SL 4/SN DX/SL (/SS 약스포/NNG )/SS,1361
21,다음/NNG 주/NNG VOD/SL 출시/NNG 일정/NNG,3059
22,넷플릭스/NNP 이거/NP 보/VV 고/EC 싶/VX 네요/EF ./SF,3412
23,[/SS 나/NP 를/JKO 찾/VV 아/EC 주/VV 어/EC ]/SS 포토/NNG 티켓/NNG 이미지/NNG,612
24,너무/MAG 하/XSA 네요/EC 이/MM 영화/NNG .../SE,2469
25,겨울/NNG 왕국/NNG 2/SN 미치/VV 었/EP 네요/EC 진짜/NNG ...../SE,2941
26,[/SS 닥터/NNG 후/NNG ]/SS 시즌/NNG 12/SN 첫/MM 트/NNP 레/NNG 일/NNP 러/NNG 공개/NNG,427
27,겨울/NNG 왕국/NNG 2/SN 보신분/NNG 만/JX 질문/NNG 있/VV 어요/EC,591
28,11/SN 월/NNB 23/SN 일/NNB 좌석/NNG 판매/NNG 율/XSN,2610
29,현재/MAG CGV/SL 실시간/NNG 관객수/NNG ./SF ./SE,1409
30,메가박스/NNG MX/SL 관/NNG 은/JX 어디/NP 가/JKS 제/XPN 일/NR 좋/VA 나요/EF ?/SF,924
31,주말/NNG 에/JKB 겨울/NNG 왕국/NNG 2/SN 를/JKO 관람/NNG 하/XSV 러/EC 영화관/NNG 에/JKB 가/VV ㄴ/EF 나/VV ./SF ./SE ./SF,3200
32,겨울/NNG 왕국/NNG 2/SN 2/SN 회/NNB 차/NNB 보/VV ㄴ/ETM 극장/NNG 후기/NNG 이/VCP ㅂ니다/EC,843
33,A/SL 24/SN 기획전/NNG 같/VA 은/ETM 것/NNB ㄴ/JX 안/MAG 하/VV 겠/EP 죠/EF ?/SF,685
34,겨울/NNG 왕국/NNG 2/SN 보/VV 았/EP 습니다/EC,365
35,"""/SS 기생충/NNG 이/JKS 받/VV 을/ETM 줄/NNB 알/VV 았/EP 는데/EC ""/SS 수상/NNG 소감/NNG 모음/NNG 영상/NNG",7781
36,용산/NNP 주말/NNG 사람/NNG 정말/MAG 많/VA 네요/EC,1080
37,시사회/NNG 가/JKS 잘/MAG 당첨/NNG 되/XSV 는/ETM 기준/NNG 이/JKS 있/VV 을까요/EF ?/SF,586
38,오늘/NNG 용/NNG 포/NNP 디/NNG 에서/JKB 가장/MAG 크/VA 게/EC 반응/NNG 있/VV 었/EP 던/ETM 장면/NNG,1098
39,스포/NNG O/SL )/SS 겨울왕국/NNG 드디어/MAG 보/VX 았/EP 습니다/EF !/SF !/SF (/SS mx/SL 관/NNG )/SS,546
40,겨울/NNG 왕국/NNG CGV/SL 아/XR 맥/NNG 포티/NNG 이벤트/NNG 참여/NNG 하/XSV 시/EP 는/ETM 분/NNB 계시/VV 어요/EF ?/SF,1138
41,[/SS 날씨/NNG 의/JKG 아이/NNG ]/SS,589
42,&/SW lt/SL ;/SP 너/NP 의/JKG 여자/NNG 친구/NNG &/SW gt/SL ;/SP 재밌/VA 을까요/EF ?/SF,146
43,겨울/NNG 왕국/NNG 보러오/VV 았/EP 습니다/EC,241
44,[/SS 겨울왕국/NNG 2/SN ]/SS 북미/NNP 4/SN DX/SL 홍보/NNG 이미지/NNG,718
45,날씨/NNG 의/JKG 아/NNP 이/NNG &/SW amp/SL ;/SP 너/NP 의/JKG 이름/NNG 은/JX 보/VV 러/EC 오/VV 았/EP 습니다/EF ./SF,412
46,겨울/NNG 왕국/NNG 2/SN 용/NNG 포/NNP 프/NNG 로/JKB 보/VV 고/EC 나오/VV 았/EP 습니다/EF ./SF (/SS 스포/NNG X/SL )/SS,843
47,20/SN 년/NNB 전/NNG 에/JKB 개봉/NNG 하/XSV 였/EP 던/ETM 영화/NNG,781
48,./SF,721
49,저/NP 의/JKG 영화/NNG 첫/MM 굿즈/NNG ./SP jpg/SL,1134
50,11/SN 월/NNB 22/SN 일/NNB 좌석/NNG 판매/NNG 율/XSN,1733
51,겨울/NNG 왕국/NNG 2/SN 후기/NNG (/SS 약스포/NNG )/SS,475
52,저/NP 도/JX 제/NP 가/JKS 참/MAG 무섭/VA 네요/EF ..../SE (/SS 겨울왕국/NNG )/SS,2874
53,겨울/NNG 왕국/NNG 2/SN 용아맥/NNG 다녀오/VV ㄴ/ETM 분/NNB 들/XSN 께/JKB 질문/NNG !/SF,656
54,겨울/NNG 왕국/NNG 2/SN 관람/NNG 완료/NNG,369
55,&/SW lt/SL ;/SP 메가박스/NNG &/SW gt/SL ;/SP 오리지널/NNG 티켓/NNG -/SS 앞/NNG 으로/JKB 도/JX 선택/NNG 가능/NNG 하/XSA 게/EC 하/VX 여/EC 주/VX 었/EP 으면/EC .../SE,1299
56,영화관/NNG 에서/JKB 처음/NNG 보/VV ㄴ/ETM 영화/NNG 기억/NNG 나/VV 시/EP 어요/EF ?/SF,802
57,포토티켓/NNG 질문/NNG 좀/MAG 드리/VV ㅂ/EF 니다/EC,301
58,겨울/NNG 왕국/NNG 2/SN 보/VV 았/EP 습니다/EC,655
59,무슨/MM 영화/NNG 이/VCP ㄹ까요/EF ?/SF,497
60,겨울/NNG 왕국/NNG 오리지널/NNG 티켓/NNG 남/VV 아/EC 있/VX 네요/EF !/SF,1758
61,11/SN 월/NNB 22/SN 일/NNB (/SS 금/NNG )/SS 넷플릭스/NNP 업데이트/NNG 작품/NNG 들/XSN,5744
62,[/SS 겨울왕국/NNG 2/SN ]/SS 보/VV 러/EC 오/VV 았/EP 어요/EC,275
63,드디어/MAG 겨울/NNG 왕국/NNG 2/SN 보/VV ㅂ니다/EC,310
64,[/SS 겨울왕국/NNG 2/SN ]/SS 시간표/NNG ./SF ../SE,333
65,겨울/NNG 왕국/NNG 2/SN 아쉽/VA 었/EP 던/ETM 거/NNB (/SS 강스포/NNG )/SS,729
66,겨울/NNG 왕국/NNG 2/SN 보러오/VV 았/EP 습니다/EC,235
67,"[/SS 4/SN DX/SL ]/SS '/SS 겨울왕국/NNG 2/SN '/SS 4/SN DX/SL ,/SP '/SS 어벤/NNP 져스/NNG :/SP 엔드게임/NNG '/SS ../SE ./SF",736
68,겨울/NNG 왕국/NNG 2/SN 4/SN dx/SL 카드/NNG 1/SN +/SW 1/SN 쿠폰/NNG 사용/NNG 안/MAG 되/XSV 나요/EF ?/SF,803
69,겨울왕국/NNG 저/NP 는/JX 아맥/XR 3/SN D/SL 가/VV 아/EC 더/MAG 좋/VA 았/EP 네요/EC,1368
70,[/SS 스타워즈/NNP 9/SN ]/SS 새/MM IMAX/SL 포스터/NNG,1093
71,봉준호/NNP 감독/NNG 이/JKS 최근/NNG 일본/NNP 서/JKB 만나/VV ㄴ/ETM 사람/NNG 들/XSN,4489
72,겨울/NNG 왕국/NNG 2/SN 후기/NNG,385
73,겨울/NNG 왕국/NNG 1/SN 이/JKS 좋/VA 았/EP 나요/EF ?/SF 2/SN 가/JKS 좋/VA 았/EP 나요/EF ?/SF,1084
74,코엑스/NNP 오리지널/NNG 티켓/NNG 받/VV 았/EP 습니다/EC,989
75,메가박스/NNG 취소/NNG 하/XSV 였/EP 네요/EF ./SF,3118
76,스포/NNG )/SS 겨울/NNG 왕국/NNG 2/SN 보신/NNG 분/NNB 들/XSN 께/JKB 질문/NNG 있/VV 어요/EF !/SF !/SF,709
77,[/SS 겨울왕국/NNG 2/SN ]/SS 노스포/NNP 후기/NNG (/SS 2/SN ./SP 5/SN //SP 5/SN )/SS,2779
78,[/SS 겨울왕국/NNG 2/SN ]/SS 간략/NNG 후기/NNG,2225
79,겨울/NNG 왕국/NNG 블루레/NNP 이/NNG 스틸북/NNG 구매/NNG !/SF,615
80,[/SS 겨울왕국/NNG 2/SN ]/SS 스포/NNG )/SS 이/JKS 장면/NNG 때문/NNB 에/JKB 용아맥/NNG 다시/MAG 예매/NNG 하/XSV 였/EP 어요/EC ㅠ/NNG,1847
81,겨울/NNG 왕국/NNG 2/SN 남/VV 는/ETM 것/NNB ㄴ/JX ./SF .../SE (/SS 스포/NNG )/SS,1322
82,스포/NNG )/SS 겨울/NNG 왕국/NNG 자막/NNG 번역/NNG 이/JKS .../SE,1399
83,오늘/NNG 겨울/NNG 왕국/NNG 2/SN 보/VV 시/EP 면서/EC 다/MAG 들/XSN 관크/NNG 없/VA 으시/EP 었/EP 나요/EF ?/SF,1620
84,겨울/NNG 왕국/NNG 2/SN ./SP ../SE 1/SN 편/NNB 이/JKS 더/MAG 좋/VA 았/EP 습니다/EC (/SS 약스포/NNG )/SS,547
85,넷플릭스/NNP 드라마/NNG [/SS 너/NP 의/JKG 모든/MM 것/NNB ]/SS 시즌/NNG 2/SN 첫/MM 스틸/NNG 공개/NNG,414
86,(/SS 스포/NNG )/SS 겨울/NNG 왕국/NNG 2/SN 후기/NNG 및/MAG 질문/NNG,332
87,다/MAG 들/XSN 원래/NNG 메박/NNG 은/JX 시사회/NNG 당첨/NNG 이/JKS 잘/MAG 되/XSV 나요/EF ?/SF,739
88,굿/NNG 라이/NNG 어/NNP 후기/NNG,356
89,겨울/NNG 왕국/NNG 2/SN 후기/NNG,485
90,CGV/SL 실시간/NNG 관객수/NNG (/SS 21/SN 시/NNB 기준/NNG )/SS,941
91,혹시/MAG 익무/NNG 에/JKB 올라오/VV 았/EP 던/ETM 글/NNG 중/NNB 에/JKB 상영관/NNG 추천/NNG 하/XSV 여/EC 주/VX 시/EP 던/ETM 글/NNG 알/VV 시/EP 는/ETM 분/NNB 계/VV 신/NNG .../SE,374
92,./SF,543
93,무대인사/NNG 질문/NNG,233
94,감독/NNG 특별전/NNG 어떻/VA 게/EC 생각/NNG 하/XSV 시/EP 나요/EF ?/SF,657
95,겨울/NNG 왕국/NNG 2/SN 에서/JKB (/SS 강스포/NNG )/SS,772
96,[/SS 겨울/NNG 왕국/NNG 2/SN ]/SS 오프닝/NNG 관객수/NNG 50/SN 만/NR 명/NNB 돌파/NNG,896
97,[/SS 겨울왕국/NNG 2/SN ]/SS 후기/NNG (/SS 스포/NNG )/SS,515
98,오늘/NNG 보/VV 는/ETM 영화/NNG,217
99,‘/SS 겨울왕국/NNG 2/SN ’/SS 후기/NNG (/SS 스포/NNG x/SL )/SS,605
100,코엑스/NNP 메박/NNG 겨울/NNG 왕국/NNG 오리지널/NNG 티켓/NNG 3/SN 종/NNG 다/MAG 남/VV 아/EC 있/VX 나요/EF ?/SF,291
101,[/SS 겨울왕국/NNG 2/SN ]/SS 보/VV 고/EC 나/VX 아서/EC 듣/VV 었/EP 던/ETM 생각/NNG (/SS 강스포/NNG )/SS,607
102,[/SS 겨울왕국/NNG 2/SN ]/SS 용아맥/NNG 보/VV 러/EC 오/VV 았/EP 습니다/EC,262
103,겨울/NNG 왕국/NNG 2/SN,383
104,조커/NNG 부터/JX 겨울/NNG 왕국/NNG 까지/JX 메가박스/NNG 오리지널/NNG 티켓/NNG 찍/VV 어/EC 보/VX 았/EP 습니다/EF ./SF,835
105,겨울/NNG 왕국/NNG 질문/NNG 이/VCP 요/EC,230
106,[/SS 겨울왕국/NNG 2/SN ]/SS 이번/NNG 오리지널/NNG 티켓/NNG 맘/NNG 에/JKB 안/MAG 들/VV 는/ETM 점/NNG (/SS 약스포/NNG )/SS,1434
107,겨울/NNG 왕국/NNG 2/SN 자막/NNG 중/NNB 에/NNP ~/SO (/SS 스/NNG 포/NNP )/SS,443
108,조커/NNG 2/SN 확정/NNG 기사/NNG 뜨/VV 었/EP 네요/EF ./SF,1743
109,겨울/NNG 왕국/NNG 2/SN 보/NNG 고/EC 들/VV ㄴ/ETM 생각/NNG 들/XSN (/SS 스포/NNG )/SS,575
110,(/SS 스포/NNG )/SS 겨울/NNG 왕국/NNG 2/SN 를/JKO 보/VV 고/EC 짧/VA 은/ETM 글/NNG ./SF,597
111,오랜만/NNG 에/JKB !!/SF !/SF 겨울/NNG 왕국/NNG 2/SN 로/JKB 돌아오/VV 았/EP 어요/EC ㅎ/NNG ㅎ/NNG (/SS 약스포/NNG )/SS,312
112,겨울/NNG 왕국/NNG MX/SL 관/NNG 노스포/NNP 간단/NNG 후기/NNG,813
113,겨울/NNG 왕국/NNG 2/SN (/SS 노스포/NNP )/SS 아이맥스/NNG 3/SN D/SL 후기/NNG !/SP !/SF,1041
114,겨울/NNG 왕국/NNG 2/SN 후기/NNG,738
115,[/SS 겨울왕국/NNG 2/SN ]/SS 노스포/NNP 후기/NNG,609
116,겨울/NNG 왕국/NNG 2/SN 후기/NNG,438
117,[/SS 노스포/NNP ]/SS 겨울/NNG 왕국/NNG 2/SN 보/VV 았/EP 습니다/EF ./SF,828
118,겨울/NNG 왕국/NNG 2/SN 개/VV ㄴ/ETM 적/XSN 으로/JKB 1/SN 편/NNB 보다/JKB 좋/VA 았/EP 습니다/EC (/SS 노스포/NNP )/SS,798
119,해외/NNG 아티스트/NNG 의/JKG '/SS 기생충/NNG '/SS 팬포스터/NNG,1213
120,오리지널/NNG 티켓/NNG 수령/NNG 하/XSV 였/EP 습니다/EF !/SF !/SF,351
121,오리지널/NNG 티켓/NNG 어떻/VA 게/EC 수령/NNG 하/XSV 여야/EC 하/VX 나요/EF ?/SF,590
122,스포/NNG 없/VA 음/ETN )/SS 겨울왕국/NNG 용포디/NNP 간략/NNG 후기/NNG,1260
123,메박/NNG 오리지널/NNG 티켓/NNG 수령/NNG 하/XSV 였/EP 어요/EF !/SF,773
124,겨울/NNG 왕국/NNG 2/SN 아이맥스/NNG 이벤트/NNG 질문/NNG 이/VCP ㅂ니다/EF ./SF,518
125,저/NP 도/JX 오리지널/NNG 티켓/NNG 수령/NNG 완료/NNG 하/VV 였/EP 습니다/EF !/SF,221
126,'/SS 겨울왕국/NNG 2/SN '/SS 상영/NNG 전/NNG IMAX/SL 예고편/NNG 은/JX .../SE,1183
127,겨울/NNG 왕국/NNG 2/SN CGV/SL 취소/NNG 하/XSV 시/EP ㄴ/ETM 분/NNB 계/VV 신/NNG 가요/EF ?/SF,1473
128,[/SS 겨울왕국/NNG 2/SN ]/SS IMAX/SL 간단/NNG 후기/NNG (/SS 노스포/NNP )/SS,5652
129,[/SS 겨울왕국/NNG 2/SN ]/SS 메가박스/NNG 오리지널/NNG 티켓/NNG 수령/NNG 하/XSV 였/EP 습니다/EC,1308
130,[/SS 겨울왕국/NNG 2/SN ]/SS 용아맥/NNG 보/VV 러/EC 오/VV 았/EP 습니다/EF !/SF,704
131,‘/SS 스타워즈/NNP 9/SN ’/SS 4/SN K/SL 스틸북/NNG 출시/NNG 예정/NNG (/SS 해외/NNG )/SS,271
132,./SF,4179
133,./SF,636
134,./SF,554
135,겨울/NNG 왕국/NNG 2/SN 오리지널/NNG 티켓/NNG 3/SN 종/NNG 실물/NNG 샷/NNG,5321
136,11/SN 월/NNB 20/SN 일/NNB 박스오피스/NNG //SP 실시간/NNG 예매/NNG 율/XSN,3430
137,문화/NNG 의/JKG 날/NNG 겨울왕국/NNG 용아맥/NNG 2/SN D/SL 네/IC 요/EF !/SF !/SF,516
138,겨울/NNG 왕국/NNG 2/SN 아이맥스/NNG 로/JKB 관람/NNG 하/XSV 여야/EC 하/VX ㄹ까요/EF ?/SF,863
139,겨울/NNG 왕국/NNG 2/SN 보고/NNG 포스터/NNG 를/JKO 다시/MAG 보/VV 면/EC -/SS !/SF (/SS 약스포/NNG )/SS,533
140,내일/NNG 드디어/MAG 공개/NNG 되/XSV 네요/EF ./SF,1030
141,'/SS 어벤/NNP 져스/NNG :/SP 엔드/NNG 게임/NNG '/SS '/SS 겨울/NNG 왕국/NNG 2/SN '/SS '/SS 기/NNG ../SE ./SF,766
142,스포/NNG x/SL 겨울/NNG 왕국/NNG 2/SN,909
143,겨울/NNG 왕국/NNG 2/SN 보/VV 았/EP 어/EC 요/NNP (/SS 노스포/NNP )/SS,1556
144,메가박스/NNG 오리지널/NNG 티켓/NNG 을/JKO 영화/NNG 상영/NNG 전/NNG 에/JKB 도/JX 받/VV 을/ETM 수/NNB 있/VV 나요/EF ??/SF,928
145,오늘/NNG 은/JX 영화/NNG 에/JKB 미치/VV ㄴ/ETM 날/NNG ../SF,316
146,용아맥/NNG 도/JX 2/SN 주/NNB 차/NNG 에/JKB ㄴ/JX 2/SN D/SL 이/VCP ㄹ까요/EF ?/SF,426
147,[/SS 겨울왕국/NNG 1/SN ]/SS 에서/JKB 가장/MAG 좋/VA 았/EP 던/ETM 노래/NNG 는/JX ?/SF,404
148,겨울/NNG 왕국/NNG 2/SN 월/NNB 드/NNG 타/NNP 워/NNG 시사회/NNG 굿즈/NNG 증정/NNG 정보/NNG,1562
149,포토티켓/NNG 수정/NNG 부탁/NNG 드리/VV 어도/EC 되/VV ㄹ까요/EF ?/SF,487
150,겨울/NNG 왕국/NNG 2/SN 를/JKO 준비/NNG 하/XSV 는/ETM 저/NP 의/JKG 모습/NNG,812
151,겨울/NNG 왕국/NNG 2/SN 보/VV 러/EC 오/VV 았/EP 어요/EC ~/SO !!/SF,439
152,오늘/NNG 밤/NNG 에/JKB 올라오/VV ㄹ/ETM 후기/NNG 들/XSN 기대/NNG 되/XSV 네요/EC,488
153,겨울/NNG 왕국/NNG 2/SN 굿즈/NNG 구매/NNG 완료/NNG !/SF !/SF !/SF,866
154,인터뷰/NNG 끝나/VV 았/EP 습니다/EC,3695
155,메박/NNG vip/SL 포인트/NNG 질문/NNG 드리/VV ㅂ니다/EC,488
156,시빌/NNP 을/JKO 보/VV 고/EC 나/VX 아서/EC .../SE,658
157,오늘/NNG 보/VV 는/ETM 영화/NNG,259
158,'/SS 기생충/NNG '/SS 미/NNG 로/NNP 팬포스터/NNG,1236
159,저/NP 도/JX 겨울/NNG 왕국/NNG 은/JX 메박/NNG 에서/JKB 보/VV 겠/EP 네요/EF ./SF,304
160,./SF,350
161,이렇/VA 어서/EC 시사회/NNG 하나/NR 보/VV 아요/EC (/SS feat/SL ./SF 겨울/NNG 왕국/NNG )/SS,2486
162,오늘/NNG 의/JKG '/SS 조커/NNG '/SS 팬포스터/NNG,327
163,[/SS 기생충/NNG ]/SS 일본판/NNG 포스터/NNG,4056
164,오리지널/NNG 티켓/NNG 질문/NNG 이/VCP 요/EC,773
165,봉준호/NNP 감독/NNG 이/JKS 히/NNP 어/NNG 로/JKB 영화/NNG 를/JKO 못/MAG 찍/VV 는/ETM 이유/NNG ./SF jpg/SL,3150
166,용포디/NNP 도/JX 취소표/NNG 좀/MAG 풀리/VV 나요/EF ?/SF,960
167,겨울왕국/NNG 어디/NP 서/JKB 보/VX ㄹ까요/EF ?/SF,724
168,Cgv/SL 대단/XR 하/XSA 네요/EF ...../SE,3143
169,올해/NNG 에/JKB 도/JX 하/VV 였/EP 으면/EC 좋/VA 겠/EP 는데/EF .../SE,629
170,겨울/NNG 왕국/NNG 2/SN 편/NNB 전/NNG 늦/VA 게/EC 보/VV ㄹ/ETM 생각/NNG 이/VCP ㅂ니다/EF ./SF ./SE ㅠ/SWK ㅠ/NNG,943
171,굿즈/NNG 때문/NNB 에/JKB 영화/NNG 보/VV 는/ETM 것/NNB ㄴ/JX 아니/VCN 지만/EC .../SE,1042
172,겨울/NNG 왕국/NNG 2/SN 보/VV 려고/EC 겨울/NNG 왕국/NNG 1/SN 보/VV 았/EP 습니다/EF ./SF,317
173,용아맥/NNG 예매/NNG 취소/NNG 하/XSV 였/EP 어요/EC,689
174,겨울/NNG 왕국/NNG CGV/SL 굿/NNG 즈/NNP 맘/NNG 에/JKB 안/MAG 들/VV 네요/EF ./SF,1288
175,겨울/NNG 왕국/NNG 2/SN CGV/SL 이벤트/NNG 질문/NNG 있/VV 어요/EF !/SF,861
176,스틸북/NNG 질문/NNG 이/VCP ㅂ니다/EC,527
177,어/NNG 벤져스/NNP 인피니티워/NNG 스틸북/NNG 다/NNG 들/XSN 사/VV 시/EP 었/EP 나요/EF ?/SF,502
178,메가박스/NNG 오리지널/NNG 티켓/NNG 은/JX 정말/MAG 신/NNG 의/JKG 한/MM 수/NNB 이/VCP ㄴ/ETM 것/NNB 같/VA 아요/EC,2494
179,[/SS 시빌/NNP ]/SS 스페셜/NNG 포스터/NNG,495
180,아트/NNG 나/NNP 이/VCP ㄴ/ETM 질문/NNG 있/VV 습니다/EF !/SF !/SF,433
181,메가박스/NNG '/SS 굿/NNG 라/NNG 이/VV 어/NNP '/SS 시사/NNG 당첨/NNG 되/XSV 었/EP 어요/EC ~/SO,283
182,"다/NNG 들/XSN ,/SP 겨울왕국/NNG 보/VV 시/EP 는/ETM 날/NNG 열리/VV 는/ETM 시사회/NNG 당첨/NNG 이/VCP 네요/EC",1039
183,4/SN DX/SL 레/NNG 드/NNP 카/NNG 드/NNP 질문/NNG,481
184,메가박스/NNG 오리지널/NNG 티켓/NNG 질문/NNG,1047
185,[/SS 디/NNP 에/JKB 고/NNP ]/SS 12/SN 월/NNB 12/SN 일/NNB 개봉/NNG 확정/NNG &/SW amp/SL ;/SP 메인/NNG 포스터/NNG,301
186,겨울/NNG 왕국/NNG 2/SN 오리지널/NNG 티켓/NNG 질문/NNG 드리/VV ㅂ니다/EF ./SF,1093
187,메가박스/NNG '/SS 겨울왕국/NNG 2/SN '/SS 오리지널/NNG 티켓/NNG 증정/NNG 이벤트/NNG,4931
188,디즈니/NNP 인스타/NNG 겨울/NNG 왕국/NNG 2/SN 예매/NNG 권/XSN 이벤트/NNG,988
189,용산/NNP cgv/SL 13/SN 관/NNB 마/NNG 스/NNP 킹/NNG 하/VV 여/EC 주/VX 나요/EF ?/SF !/SF,398
190,오랜만/NNG 에/JKB 익무/NNG 를/JKO 들어오/VV 네요/EF !/SF,333
191,메가박스/NNG 인스타/NNG 실시간/NNG 근황/NNG,3294
192,11/SN 월/NNB 까지/JX 쓰/VV 어야/EC 하/VX 는/ETM 관람/NNG 권/XSN 있/VV 는데/EC 어디/NP 에/JKB 쓰/VV 는/ETM 것/NNB 이/JKS 좋/VA 을까요/EF ?/SF,311
193,집/NNG 이야기/NNG 영화/NNG 정말/MAG 좋/VA 네요/EC ~/SO,864
194,크/NNG 겨울/NNG 왕국/NNG 2/SN 공식/NNG 시사/NNG 당첨/NNG 되/XSV 었/EP 습니다/EC,1216
195,날씨/NNG 의/JKG 아이/NNG 패키지/NNG 보/VV 러/EC 오/VV 았/EP 습니다/EF ./SF,790
196,메가박스/NNG '/SS 겨울왕국/NNG 2/SN '/SS 콤보/NNG 정보/NNG,2814
197,한국/NNP //SP 미국/NNP 박/NNG 스/NNP 오/NNG 피/NNP 스/NNG (/SS 11/SN //SP 15/SN ~/SO 17/SN )/SS,1376
198,겨울/NNG 왕국/NNG 2/SN 3/SN 디/NNG 효과/NNG 가/JKS 있/VV 나요/EF ?/SF,324
199,[/SS 겨울왕국/NNG 2/SN ]/SS 예매/NNG 관객/NNG 50/SN 만/NR 돌파/NNG,911
200,겨울/NNG 왕국/NNG 2/SN 괜찮/VA 네요/EF ./SF,7789
201,전/MM 메가박스/NNG 오리지널/NNG 티켓/NNG 기다리/VV 어요/EC ㅋ/NNG ㅋ/IC ㅋ/NNG,1837
202,겨울/NNG 왕국/NNG 2/SN 포스터/NNG 증정/NNG 없/VA 을/ETM 수/NNB 도/JX 있/VV 겠/EP 다/EC 싶/VX 네요/EF .../SE,2690
203,2/SN 주년/NNB 나누/VV ㅁ/ETN 홍보/NNG 하/XSV ㅂ니다/EF !/SF !/SF,373
204,‘/SS 조커/NNG ’/SS 10/SN 억/NR 달러/NNB 흥행/NNG 기념/NNG 팬포스터/NNG,820
205,겨울왕국/NNG 포토티켓/NNG 수정/NNG 부탁/NNG 드리/VV ㅂ니다/EC :/SP )/SS,1355
206,겨울/NNG 왕국/NNG 2/SN 용포디/NNP 예매/NNG 성공/NNG 하/XSV 였/EP 어요/EF !/SF !/SF,576
207,11/SN 월/NNB 17/SN 일/NNB (/SS 일/NNG )/SS 넷플릭스/NNP 업데이트/NNG 작품/NNG 들/XSN,6726
208,겨울/NNG 왕국/NNG 2/SN 4/SN DX/SL 2/SN D/SL 상영/NNG 은/JX 없/VA 을까요/EF ?/SF !/SF,907
209,오늘/NNG 보/VV 는/ETM 영화/NNG,300
210,겨울/NNG 왕국/NNG 2/SN 실시간/NNG 예매/NNG 율/XSN,2133
211,[/SS 겨울왕국/NNG 2/SN ]/SS 포토/NNG 티켓/NNG 이미지/NNG,25040
212,여러분/NP 이/MM 영화/NNG 어떻/VA 게/EC 되/VV 었/EP 나요/EF ?/SF,1300
213,날씨/NNG 의/JKG 아이/NNG 보/VV 러/EC 오/VV 았/EP 습니다/EF ./SF,663
214,11/SN 월/NNB 16/SN 일/NNB 좌석/NNG 판매/NNG 율/XSN,1814
215,CGV/SL 겨울/NNG 왕국/NNG 2/SN 콤보/NNG 2/SN 소식/NNG,2466
216,[/SS 날씨/NNG 의/JKG 아이/NNG ]/SS 북미/NNP 메인/NNG 예고편/NNG,495
217,시상식/NNG 보러오/VV 았/EP 습니다/EC,412
218,블라인드/NNG 시사회/NNG 오/VV 았/EP 어요/EC,961
219,IMAX/SL 예매/NNG 오픈/NNG 열리/VV 는/ETM 것/NNB ㄴ/JX 어떻/VA 게/EC 알/VV 나요/EF ??/SF ?/SF,887
220,mx/SL 관/NNG 질문/NNG 드리/VV ㅂ니다/EF ./SF,744
